pair_ID	sentence_A	parse_A	sentence_B	parse_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
37	The player is dunking the basketball into the net and a crowd is in background	(ROOT (S (S (NP (DT The) (NN player)) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN basketball)) (PP (IN into) (NP (DT the) (NN net)))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	The ball is being dunked by a man with a jersey at a basketball game	(ROOT (S (NP (DT The) (NN ball)) (VP (VBZ is) (VP (VBG being) (VP (VBN dunked) (PP (IN by) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (NP (DT a) (NN jersey)) (PP (IN at) (NP (DT a) (NN basketball) (NN game)))))))))) (. .)))	NEUTRAL	4	A_neutral_B	B_neutral_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
38	There is no man dunking the ball at a basketball game	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN man)) (VP (VBG dunking) (NP (DT the) (NN ball)) (PP (IN at) (NP (DT a) (NN basketball) (NN game)))))) (. .)))	The player is dunking the basketball into the net and a crowd is in background	(ROOT (S (S (NP (DT The) (NN player)) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN basketball)) (PP (IN into) (NP (DT the) (NN net)))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
39	The game of basketball consists of a ball being dunked by a man with a jersey	(ROOT (S (NP (NP (DT The) (NN game)) (PP (IN of) (NP (NN basketball)))) (VP (VBZ consists) (PP (IN of) (NP (NP (DT a) (NN ball)) (VP (VBG being) (VP (VBN dunked) (PP (IN by) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (DT a) (NN jersey)))))))))) (. .)))	The player is dunking the basketball into the net and a crowd is in background	(ROOT (S (S (NP (DT The) (NN player)) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN basketball)) (PP (IN into) (NP (DT the) (NN net)))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	NEUTRAL	3.6	A_neutral_B	B_neutral_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
40	The player is dunking the basketball into the net and a crowd is in background	(ROOT (S (S (NP (DT The) (NN player)) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN basketball)) (PP (IN into) (NP (DT the) (NN net)))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	A man with a jersey is dunking the ball at a basketball game	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN jersey)))) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN ball)) (PP (IN at) (NP (DT a) (NN basketball) (NN game))))) (. .)))	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN
41	Two people are kickboxing and spectators are watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (VP (VBG watching)))) (. .)))	Two people are fighting and spectators are watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG fighting)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (VP (VBG watching)))) (. .)))	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
42	Two people are kickboxing and spectators are not watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (RB not) (VP (VBG watching)))) (. .)))	Two people are kickboxing and spectators are watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (VP (VBG watching)))) (. .)))	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
43	Two spectators are kickboxing and some people are watching	(ROOT (S (S (NP (CD Two) (NNS spectators)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (DT some) (NNS people)) (VP (VBP are) (VP (VBG watching)))) (. .)))	Two people are kickboxing and spectators are watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (VP (VBG watching)))) (. .)))	NEUTRAL	4	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
44	Two young women are sparring in a kickboxing fight	(ROOT (S (NP (CD Two) (JJ young) (NNS women)) (VP (VBP are) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN fight))))) (. .)))	Two women are sparring in a kickboxing match	(ROOT (S (NP (CD Two) (NNS women)) (VP (VBP are) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN match))))) (. .)))	ENTAILMENT	4.9	A_entails_B	B_entails_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
45	Two young women are not sparring in a kickboxing fight	(ROOT (S (NP (CD Two) (JJ young) (NNS women)) (VP (VBP are) (RB not) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN fight))))) (. .)))	Two women are sparring in a kickboxing match	(ROOT (S (NP (CD Two) (NNS women)) (VP (VBP are) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN match))))) (. .)))	NEUTRAL	3.9	A_contradicts_B	B_neutral_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
46	Two people are kickboxing and spectators are watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (VP (VBG watching)))) (. .)))	Two young women are sparring in a kickboxing fight	(ROOT (S (NP (CD Two) (JJ young) (NNS women)) (VP (VBP are) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN fight))))) (. .)))	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TEST
47	Two people are kickboxing and spectators are watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (VP (VBG watching)))) (. .)))	Two young women are not sparring in a kickboxing fight	(ROOT (S (NP (CD Two) (JJ young) (NNS women)) (VP (VBP are) (RB not) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN fight))))) (. .)))	NEUTRAL	3.415	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
48	Two women are sparring in a kickboxing match	(ROOT (S (NP (CD Two) (NNS women)) (VP (VBP are) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN match))))) (. .)))	Two people are fighting and spectators are watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG fighting)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (VP (VBG watching)))) (. .)))	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
49	Two women are sparring in a kickboxing match	(ROOT (S (NP (CD Two) (NNS women)) (VP (VBP are) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN match))))) (. .)))	Two people are kickboxing and spectators are not watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (RB not) (VP (VBG watching)))) (. .)))	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
50	Two spectators are kickboxing and some people are watching	(ROOT (S (S (NP (CD Two) (NNS spectators)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (DT some) (NNS people)) (VP (VBP are) (VP (VBG watching)))) (. .)))	Two women are sparring in a kickboxing match	(ROOT (S (NP (CD Two) (NNS women)) (VP (VBP are) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN match))))) (. .)))	NEUTRAL	3.6	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
51	Two people are kickboxing and spectators are watching	(ROOT (S (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG kickboxing)))) (CC and) (S (NP (NNS spectators)) (VP (VBP are) (VP (VBG watching)))) (. .)))	Two women are sparring in a kickboxing match	(ROOT (S (NP (CD Two) (NNS women)) (VP (VBP are) (VP (VBG sparring) (PP (IN in) (NP (DT a) (VBG kickboxing) (NN match))))) (. .)))	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TEST
52	Kids in red shirts are playing in the leaves	(ROOT (S (NP (NP (NNS Kids)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG playing) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Children in red shirts are playing in the leaves	(ROOT (S (NP (NP (NNP Children)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG playing) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	ENTAILMENT	4.9	A_entails_B	B_entails_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
53	Children in red shirts are playing in the leaves	(ROOT (S (NP (NP (NNP Children)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG playing) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Children in red shirts are sleeping in the leaves	(ROOT (S (NP (NP (NNP Children)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG sleeping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	NEUTRAL	4	A_neutral_B	B_contradicts_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
54	Children in red shirts are playing in the leaves	(ROOT (S (NP (NP (NNP Children)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG playing) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Children covered by leaves are playing with red shirts	(ROOT (S (NP (NP (NNP Children)) (VP (VBN covered) (PP (IN by) (NP (NNS leaves))))) (VP (VBP are) (VP (VBG playing) (PP (IN with) (NP (JJ red) (NNS shirts))))) (. .)))	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
55	Three boys are jumping in the leaves	(ROOT (S (NP (CD Three) (NNS boys)) (VP (VBP are) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Three kids are jumping in the leaves	(ROOT (S (NP (CD Three) (NNS kids)) (VP (VBP are) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
56	Three kids are sitting in the leaves	(ROOT (S (NP (CD Three) (NNS kids)) (VP (VBP are) (VP (VBG sitting) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Three kids are jumping in the leaves	(ROOT (S (NP (CD Three) (NNS kids)) (VP (VBP are) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
57	Three boys are jumping in the leaves	(ROOT (S (NP (CD Three) (NNS boys)) (VP (VBP are) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Children in red shirts are playing in the leaves	(ROOT (S (NP (NP (NNP Children)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG playing) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
58	Children in red shirts are playing in the leaves	(ROOT (S (NP (NP (NNP Children)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG playing) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Three kids are sitting in the leaves	(ROOT (S (NP (CD Three) (NNS kids)) (VP (VBP are) (VP (VBG sitting) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	NEUTRAL	3.5	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
59	Kids in red shirts are playing in the leaves	(ROOT (S (NP (NP (NNS Kids)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG playing) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Three kids are jumping in the leaves	(ROOT (S (NP (CD Three) (NNS kids)) (VP (VBP are) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
60	Children in red shirts are sleeping in the leaves	(ROOT (S (NP (NP (NNP Children)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG sleeping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Three kids are jumping in the leaves	(ROOT (S (NP (CD Three) (NNS kids)) (VP (VBP are) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	NEUTRAL	3.1	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
61	Children covered by leaves are playing with red shirts	(ROOT (S (NP (NP (NNP Children)) (VP (VBN covered) (PP (IN by) (NP (NNS leaves))))) (VP (VBP are) (VP (VBG playing) (PP (IN with) (NP (JJ red) (NNS shirts))))) (. .)))	Three kids are jumping in the leaves	(ROOT (S (NP (CD Three) (NNS kids)) (VP (VBP are) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
62	Children in red shirts are playing in the leaves	(ROOT (S (NP (NP (NNP Children)) (PP (IN in) (NP (JJ red) (NNS shirts)))) (VP (VBP are) (VP (VBG playing) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	Three kids are jumping in the leaves	(ROOT (S (NP (CD Three) (NNS kids)) (VP (VBP are) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NNS leaves))))) (. .)))	NEUTRAL	4	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
63	Two children are lying in the snow and are drawing angels	(ROOT (S (NP (CD Two) (NNS children)) (VP (VP (VBP are) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow))))) (CC and) (VP (VBP are) (VP (VBG drawing) (NP (NNS angels))))) (. .)))	Two children are lying in the snow and are making snow angels	(ROOT (S (NP (CD Two) (NNS children)) (VP (VP (VBP are) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow))))) (CC and) (VP (VBP are) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
64	Two children are lying in the snow and are making snow angels	(ROOT (S (NP (CD Two) (NNS children)) (VP (VP (VBP are) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow))))) (CC and) (VP (VBP are) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	There is no child lying in the snow and making snow angels	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN child)) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels)))))) (. .)))	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
65	Two angels are making snow on the lying children	(ROOT (S (NP (CD Two) (NNS angels)) (VP (VBP are) (VP (VBG making) (NP (NN snow)) (PP (IN on) (NP (DT the) (VBG lying) (NNS children))))) (. .)))	Two children are lying in the snow and are making snow angels	(ROOT (S (NP (CD Two) (NNS children)) (VP (VP (VBP are) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow))))) (CC and) (VP (VBP are) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
66	Two people wearing snowsuits are on the ground making snow angels	(ROOT (S (NP (NP (CD Two) (NNS people)) (VP (VBG wearing) (NP (NNS snowsuits)))) (VP (VBP are) (PP (IN on) (NP (NP (DT the) (NN ground)) (VP (VBG making) (NP (NN snow) (NNS angels)))))) (. .)))	Two people in snowsuits are lying in the snow and making snow angels	(ROOT (S (NP (NP (CD Two) (NNS people)) (PP (IN in) (NP (NNS snowsuits)))) (VP (VBP are) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	ENTAILMENT	4.8	A_entails_B	B_entails_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
67	Two people in snowsuits are lying in the snow and making snow angels	(ROOT (S (NP (NP (CD Two) (NNS people)) (PP (IN in) (NP (NNS snowsuits)))) (VP (VBP are) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	Nobody in snowsuits is lying in the snow and making snow angels	(ROOT (S (NP (NP (NN Nobody)) (PP (IN in) (NP (NNS snowsuits)))) (VP (VBZ is) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
68	Two children are lying in the snow and are making snow angels	(ROOT (S (NP (CD Two) (NNS children)) (VP (VP (VBP are) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow))))) (CC and) (VP (VBP are) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	Two people wearing snowsuits are on the ground making snow angels	(ROOT (S (NP (NP (CD Two) (NNS people)) (VP (VBG wearing) (NP (NNS snowsuits)))) (VP (VBP are) (PP (IN on) (NP (NP (DT the) (NN ground)) (VP (VBG making) (NP (NN snow) (NNS angels)))))) (. .)))	NEUTRAL	4.6	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
69	Two children are lying in the snow and are making snow angels	(ROOT (S (NP (CD Two) (NNS children)) (VP (VP (VBP are) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow))))) (CC and) (VP (VBP are) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	Nobody in snowsuits is lying in the snow and making snow angels	(ROOT (S (NP (NP (NN Nobody)) (PP (IN in) (NP (NNS snowsuits)))) (VP (VBZ is) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
70	Two children are lying in the snow and are drawing angels	(ROOT (S (NP (CD Two) (NNS children)) (VP (VP (VBP are) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow))))) (CC and) (VP (VBP are) (VP (VBG drawing) (NP (NNS angels))))) (. .)))	Two people in snowsuits are lying in the snow and making snow angels	(ROOT (S (NP (NP (CD Two) (NNS people)) (PP (IN in) (NP (NNS snowsuits)))) (VP (VBP are) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
71	There is no child lying in the snow and making snow angels	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN child)) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels)))))) (. .)))	Two people in snowsuits are lying in the snow and making snow angels	(ROOT (S (NP (NP (CD Two) (NNS people)) (PP (IN in) (NP (NNS snowsuits)))) (VP (VBP are) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	NEUTRAL	3.3	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
72	Two people in snowsuits are lying in the snow and making snow angels	(ROOT (S (NP (NP (CD Two) (NNS people)) (PP (IN in) (NP (NNS snowsuits)))) (VP (VBP are) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	Two angels are making snow on the lying children	(ROOT (S (NP (CD Two) (NNS angels)) (VP (VBP are) (VP (VBG making) (NP (NN snow)) (PP (IN on) (NP (DT the) (VBG lying) (NNS children))))) (. .)))	NEUTRAL	2.5	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
73	Two children are lying in the snow and are making snow angels	(ROOT (S (NP (CD Two) (NNS children)) (VP (VP (VBP are) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow))))) (CC and) (VP (VBP are) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	Two people in snowsuits are lying in the snow and making snow angels	(ROOT (S (NP (NP (CD Two) (NNS people)) (PP (IN in) (NP (NNS snowsuits)))) (VP (VBP are) (VP (VP (VBG lying) (PP (IN in) (NP (DT the) (NN snow)))) (CC and) (VP (VBG making) (NP (NN snow) (NNS angels))))) (. .)))	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TRAIN
74	A little girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	A young girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ young) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	ENTAILMENT	4.7	A_entails_B	B_entails_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
75	A little girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	The little girl is looking at a man in costume	(ROOT (S (NP (DT The) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN man)) (PP (IN in) (NP (NN costume))))))) (. .)))	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
76	A little girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	A little girl in costume looks like a woman	(ROOT (S (NP (NP (DT A) (JJ little) (NN girl)) (PP (IN in) (NP (NN costume)))) (VP (VBZ looks) (PP (IN like) (NP (DT a) (NN woman)))) (. .)))	NEUTRAL	2.9	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
77	People wearing costumes are gathering in a forest and are looking in the same direction	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG gathering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (DT the) (JJ same) (NN direction)))))) (. .)))	Masked people are looking in the same direction in a forest	(ROOT (S (NP (JJ Masked) (NNS people)) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (NP (DT the) (JJ same) (NN direction)) (PP (IN in) (NP (DT a) (NN forest))))))) (. .)))	ENTAILMENT	4.4	A_entails_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
78	People wearing costumes are gathering in a forest and are looking in the same direction	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG gathering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (DT the) (JJ same) (NN direction)))))) (. .)))	People wearing costumes are scattering in a forest and are looking in different directions	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG scattering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (JJ different) (NNS directions)))))) (. .)))	NEUTRAL	3.2	A_neutral_B	B_contradicts_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
